region,participants,mean_score,median_score,finalists,pass_rate_%
Западно-Казахстанская область,238,54.7,55.2,43,18.1
Акмолинская область,262,54.6,56.0,57,21.8
г. Шымкент,275,54.3,54.4,70,25.5
Жамбылская область,242,54.2,55.2,48,19.8
Кызылординская область,233,54.0,54.3,50,21.5
г. Алматы,255,53.7,53.9,56,22.0
г. Астана,263,53.4,52.4,57,21.7
Северо-Казахстанская область,246,53.3,54.2,48,19.5
Восточно-Казахстанская область,255,53.3,54.2,62,24.3
Атырауская область,271,53.2,53.4,55,20.3
Актюбинская область,262,53.2,52.4,58,22.1
Мангистауская область,276,53.1,53.5,46,16.7
Жетысуская область,224,53.1,52.6,38,17.0
Туркестанская область,264,53.1,54.0,53,20.1
Павлодарская область,254,53.0,52.6,54,21.3
Улытауская область,221,52.7,51.3,42,19.0
Карагандинская область,240,52.5,53.0,46,19.2
Абайская область,241,52.5,52.0,45,18.7
Алматинская область,232,51.8,52.6,33,14.2
Костанайская область,246,51.7,52.0,44,17.9
